,Customer_id,Customer_name,Region_name
24,30,ИП Брицын Л.Л. глава К(Ф)Х Каменский район 611402563872,Ростовская область
25,31,"ООО ""Солард"" городской округ Ростов-на-Дону 6165205508",Ростовская область
26,33,"ОАО ""Южное"" Сальский район 6153003169",Ростовская область
27,34,"ООО ""Агрофирма ""Деметра"" Каменский район 6114009329",Ростовская область
28,35,ИП Черенков В. Б. глава К(Ф)Х Тарасовский район 613300068907,Ростовская область
29,36,ИП Трушко Анатолий Иванович глава К(Ф)Х Каменский район 611400045667,Ростовская область
30,37,"ООО ""Славяне"" Сальский 6153015950",Ростовская область
31,38,"СПК (СА) ""Нива"" Сальский район 6153016753",Ростовская область
32,39,"ЗАО ""Надежда"" Тарасовский район 6133000667",Ростовская область
33,40,"СПК ""Правда"" Тарасовский район 6133005633",Ростовская область
34,41,ИП Глава К(Ф)Х Коник Яков Александрович Миллеровский район 614905232939,Ростовская область
35,42,"ООО ""Белозерное"" Сальский район 6153025652",Ростовская область
36,43,"ООО ""Восход"" Тарасовский район 6133006796",Ростовская область
37,44,"ООО ""Быки"" Верхнедонской район 6105003056",Ростовская область
38,45,"ООО ""Амилко "" Миллеровский район 7721559817",Ростовская область
39,46,"ООО  ""Агро-Партнер Плюс"" Энгельсский район 6449060119",Саратовская область
40,47,"ООО ""Бараниковское"" Сальский район 6153025028",Ростовская область
41,48,"ООО ""Слава"" Каменский район 6114006504",Ростовская область
42,49,"ООО ""Благодарное-А"" городской округ Азов 6140005360",Ростовская область
43,50,Индивидуальный предприниматель Глава К(Ф)Х Минасян Сергей Левонович Тарасовский район 613300146048,Ростовская область
44,51,"ООО ""Комсомольские зори"" Ейский район 2331015234",Краснодарский край
45,53,"ЗАО ""Русь"" Тарасовский район 6133005810",Ростовская область
46,54,"ОАО ""Донское"" Зерноградский район 6111982748",Ростовская область
47,55,"ОАО ""Конный завод имени Первой Конной Армии"" Зерноградский район 6111982226",Ростовская область
48,56,"АО СП ""Новотроицкое"" Изобильненский городской округ 2607021460",Ставропольский край
49,57,"Крестьянское (Фермерское)  Хозяйство  ""Агрос"" Боковский район 6104001730",Ростовская область
50,58,"ООО ""Племзавод Дружба "" Калининский район 2369005789",Краснодарский край
51,59,"ООО ""Молчанов"" Азовский район 6101923334",Ростовская область
52,60,"ООО ""СОЮЗ"" Каменский район 6141028779",Ростовская область
53,61,"ООО ""Практика ЛК"" городской округ Ростов-на-Дону 6659083401",Ростовская область
54,62,"АО ""имени В.О.Мацкевич"" Зерноградский район 6167061851",Ростовская область
55,63,"ОАО ""ПСХ Маркинское"" Цимлянский район 6137007871",Ростовская область
56,64,"ОАО ""Боковский"" Боковский район 6104004603",Ростовская область
57,65,"ЗАО ""Вишневское"" Морозовский район 6121000408",Ростовская область
58,66,ООО «Дон-Агро» Чертковский район 6138007017,Ростовская область
59,67,ИП Лихачев Дмитрий Анатольевич Миллеровский район 614901142441,Ростовская область
60,68,"Общество с ограниченной ответственностью ""Агродон"" Миллеровский район 6166097333",Ростовская область
61,69,"ООО ПСК ""АзовВторСплав"" городской округ Азов 6140027099",Ростовская область
62,70,"СПК (колхоз)  ""Мир"" Чертковский район 6138001495",Ростовская область
63,71,Индивидуальный предприниматель Глава КФХ Алексеенко Дмитрий Владимирович Азовский район 610104931617,Ростовская область
64,72,"ЗАО ""Красная звезда"" Морозовский район 6121002758",Ростовская область
65,73,"ООО ""Ленинское знамя"" Азовский район 6101000343",Ростовская область
66,74,"Федеральное государственное бюджетное научное учреждение  ""Донской зональный научно-исследовательский институт сельского хозяйства"" ( ФГБНУ ""ДЗНИИСХ"") Аксайский район 6102001727",Ростовская область
67,75,"ОАО ""Племзавод ""Дружба"" Калининский район 2333012599",Краснодарский край
68,76,Индивидуальный предприниматель Кунакова Татьяна Борисовна Глава крестьянского (фермерского) хозяйства Чертковский район 613800112600,Ростовская область
69,77,ИП Рощепко Иван Алексеевич Глава К(Ф)Х Песчанокопский район 612701841400,Ростовская область
70,78,ИП глава К(Ф)Х Емельянова Александра Петровна Азовский район 616404103728,Ростовская область
71,79,Раздолье Неклиновский Неклиновский район 6123022414,Ростовская область
72,80,"ТНВ  ""Гладышев и К"" Белокалитвинский район 6142015740",Ростовская область
73,82,"Общество с ограниченной ответственностью ""Ростовская зерновая компания ""Ресурс"" городской округ Ростов-на-Дону 6148003452",Ростовская область
74,83,ИП Мокриков Василий Иванович Глава КФХ Октябрьский район 612500251288,Ростовская область
75,84,"ООО""Пригородное"" Красносулинский район 6148011340",Ростовская область
76,85,"ООО ""Изумруд"" Красносулинский 6148010555",Ростовская область
77,86,ИП Гуковский Сергей Александрович городской округ Шахты 615500735005,Ростовская область
78,87,"ООО агрофирма ""Дубрава"" Красносулинский район 6148009630",Ростовская область
79,88,"ООО ""Рассвет"" Куйбышевский Куйбышевский район 6117010026",Ростовская область
80,89,ИП Глава КФХ Фурсов Роман Владимирович Октябрьский район 615513644387,Ростовская область
81,90,Индивидуальный предприниматель глава крестьянского фермерского хозяйства Дворник Павел Александрович Красносулинский район 614801531003,Ростовская область
82,91,ИП Шленчак Александр Александрович Глава К(Ф)Х Куйбышевский район 611700876655,Ростовская область
83,92,"АО ""Шахаевское"" Веселовский район 6106001076",Ростовская область
84,93,"ООО ""Возрождение Села"" Красносулинский район 6148010280",Ростовская область
85,94,"ООО ""Агрокомплекс Ростовский"" Неклиновский район 6123016298",Ростовская область
86,96,КФХ Степочкин Владимир Васильевич Неклиновский 612300669832,Ростовская область
87,97,"ООО ""МАНИТЕК"" Семикаракорский район 6164207333",Ростовская область
88,98,"ООО ""СпецАгро"" городской округ Таганрог 6154149001",Ростовская область
89,99,"ООО ""СВЕТЛЫЙ"" Кашарский район 6115902768",Ростовская область
90,100,"ООО ""Прогресс"" Матвеево-Курганский район 6119008350",Ростовская область
91,101,"ФГУСХП ""Ростовское"" ФСИН России Веселовский район 6106004310",Ростовская область
92,102,"СПК (колхоз) ""КОЛОС"" Матвеево-Курганский район 6119002743",Ростовская область
93,103,ИП Ермоченко Владимир Николаевич Орловский район 402401073064,Ростовская область
94,104,ИП Глава КФХ Петров В.А. городской округ Гуково 614403856267,Ростовская область
95,105,ИП Глава К(Ф)Х Юзефов Н.Н. Семикаракорский район 613201405365,Ростовская область
96,107,"ОАО ""Учхоз Зерновое"" Зерноградский район 6111000021",Ростовская область
97,108,"ЗАО ""Каменнобалковское"" Благодарненский городской округ 2605000200",Ставропольский край
98,109,"ООО ""Био Ферма"" Родионово-Несветайский район 6168064950",Ростовская область
99,111,"СПК колхоз ""РОДИНА"" Матвеево-Курганский 6119000721",Ростовская область
100,112,"ООО ""Нива Приазовья"" Неклиновский район 6123023150",Ростовская область
101,113,"ООО ""Золотые Росы"" Белокалитвинский район 6142014218",Ростовская область
102,114,"ООО ""Заречное"" Красносулинский район 6148011728",Ростовская область
103,115,"ООО ""Гаразд"" Красносулинский район 6148001254",Ростовская область
104,116,"ЗАО ""ЮгАгроХолдинг"" Веселовский район 6106004990",Ростовская область
105,117,ИП Борцов Алексей Васильевич Неклиновский 612300117694,Ростовская область
106,118,"ООО  ""Агрокомплекс Ставропольский"" Грачевский район 2623014799",Ставропольский край
107,119,"Общество с ограниченной ответственностью ""Окленд инвестмент групп"" городской округ Ростов-на-Дону 6168079347",Ростовская область
108,120,"ООО ""Мартыновское"" Мартыновский район 6118906094",Ростовская область
109,121,"ЗАО ""Запад-Агро"" Матвеево-Курганский район 6119005737",Ростовская область
110,122,Колхоз имени Мясникяна Мясниковский район 6122000792,Ростовская область
111,123,"ООО ""АгроСоюз Юг Руси"" городской округ Ростов-на-Дону 6167044609",Ростовская область
112,124,"ООО ""Калининский"" Шолоховский район 6139002935",Ростовская область
113,125,"ООО ""СХП Мечетинское"" Зерноградский район 6111010213",Ростовская область
114,126,"ООО ""Индустриальное"" Кашарский район 6115903352",Ростовская область
115,127,"СПК колхоз ""Рассвет"" Матвеево-Курганский район 6119000312",Ростовская область
116,128,"ОАО  ""Заря"" Кашарский район 6115903031",Ростовская область
117,129,"ООО ""Фингрейн "" городской округ Ростов-на-Дону 6167123473",Ростовская область
118,130,ИП Наполов Ю.А. Глава К(Ф)Х Неклиновский район 612301149265,Ростовская область
119,131,"ООО ""БСП-АГРО"" Ростов-на-Дону 6167129299",Ростовская область
120,132,ИП Сахаджиян Аршак Серопович Мясниковский 612200051880,Ростовская область
121,133,"ООО АПК ""Хлебное"" Матвеево-Курганский район 6119005825",Ростовская область
122,135,ИП Мазюк Вера Юрьевна Глава К(Ф)Х Крыловский район 233800171333,Краснодарский край
123,136,"ООО ""Гелиос-Интертрейд"" Неклиновский район 6123023418",Ростовская область
124,137,ИП Лаврухин Сергей Николаевич Глава К(Ф)Х Матвеево-Курганский район 611902193595,Ростовская область
125,138,ИП Долматов Сергей Николаевич Глава К(Ф)Х Пролетарский район 612801075220,Ростовская область
126,139,ИП Ножко Валерий Владимирович Глава К(Ф)Х Матвеево-Курганский район 611902447899,Ростовская область
127,140,Индивидуальный предприниматель Коробов Евгений Александрович глава крестьянского (фермерского) хозяйства Орловский район 612602689948,Ростовская область
128,141,"СПК ""Новоселовский"" Орловский район 6126001229",Ростовская область
129,143,ИП Осипян Виталий Валентинович Глава К(Ф)Х Егорлыкский район 610901500548,Ростовская область
130,145,"ООО ""Рост"" Неклиновский район 6123010715",Ростовская область
131,146,"ООО ""Крестьянское хозяйство ""Фобос"" Пролетарский район 6128008237",Ростовская область
132,147,"ООО ""АгроСоюз Юг Руси"" Филиал ""Племенной конный завод имени С.М.Буденного"" Сальский район 6167044609",Ростовская область
133,149,"ЗАО ""НИВА"" Веселовский район 6106000629",Ростовская область
134,150,"СПК ""Мирное""",Ростовская область
135,151,"ЗАО ""Красный Октябрь"" в ДО  ОСБ 5155/036 п.Веселый Веселовский район 6106000611",Ростовская область
136,153,"ООО ""Лиманский"" Семикаракорский район 6132011659",Ростовская область
137,154,Сельскохозяйственный производственный кооператив - колхоз имени С.Г.Шаумяна Мясниковский район 6122001475,Ростовская область
138,155,"ООО ""Кагальник-Агро"" Кагальницкий район 6113014044",Ростовская область
139,156,ИП Ерин Вячеслав Анатольевич Глава К(Ф)Х Орловский район 612601698805,Ростовская область
140,157,"КФХ ""Алексира"" Пролетарский район 6128000527",Ростовская область
141,158,"АО ""Дружба"" Белокалитвинский район 6142017709",Ростовская область
142,159,"КФХ ""Колос"" Пролетарский район 6128001129",Ростовская область
143,160,ИП Мусаатаев Камиль Багамаевич Глава К(Ф)Х Орловский 612600015990,Ростовская область
144,161,ИП Глава Крестьянское (фермерское) хозяйство  Горбанец Н.И. Абинский район 232302701378,Краснодарский край
145,162,"ООО ""Исток-1"" Семикаракорский район 6132006810",Ростовская область
146,163,"СПК колхоз ""50 лет Октября"" Неклиновский район 6123001140",Ростовская область
147,164,"КФХ ""Геркулес"" Матвеево-Курганский район 6119002060",Ростовская область
148,165,"ЗАО ""ВИТЯЗЬ-М"" Родионово-Несветайский район 6122006459",Ростовская область
149,166,"ООО ""Оргтехника-ВР"" Егорлыкский 6109002007",Ростовская область
150,167,Сельскохозяйственный производственный кооператив колхоза имени Лукашина Мясниковский район 6122000471,Ростовская область
151,168,ИП Куршева Марина Дмитриевна Глава К(Ф)Х Матвеево-Курганский район 611900082603,Ростовская область
152,170,"ОАО ""имени Калинина"" Матвеево-Курганский район 6119000866",Ростовская область
153,171,"ЗАО ""Матвеев-Курганагрохимсервис"" Матвеево-Курганский район 6119001203",Ростовская область
154,173,"ООО ""Прогресс-Агро "" Песчанокопский район 6127007992",Ростовская область
155,174,"ООО ""Холдинг-Урал-Дон"" Кагальницкий район 6113015778",Ростовская область
156,175,Шеремет КХ Мартыновский район 6118008196,Ростовская область
157,177,ИП Глава К(Ф)Х Болдырев Владимир Николаевич Матвеево-Курганский район 611902640483,Ростовская область
158,178,Индивидуальный предприниматель Швецов Константин Эдуардович Глава крестьянского фермерского хозяйства Неклиновский район 612301734883,Ростовская область
159,179,"ООО ""Возрождение"" Багаевский Багаевский район 6103020000",Ростовская область
160,180,ЗАО имени Ленина Веселовский район 6106000996,Ростовская область
161,181,"ООО ""Березовское"" Сальский район 6153023253",Ростовская область
162,182,"ООО ""Колос"" Целинский Целинский район 6136008664",Ростовская область
163,184,"ООО ""Конный завод ""Донской"" Орловский район 6126009919",Ростовская область
164,185,"ОАО ""Янтарное"" Мартыновский район 6118006907",Ростовская область
165,186,"СПК ""Россия"" Орловский район 6126001003",Ростовская область
166,187,"ООО ""Солнечное"" Орловский район 6126009683",Ростовская область
167,188,ИП Терегеря Юрий Иванович Глава К(Ф)Х Орловский район 612600056354,Ростовская область
168,190,"ООО ""Агрофирма ""Целина"" Целинский район 6136009530",Ростовская область
169,191,"ООО ""Степные просторы"" Зимовниковский район 6112904848",Ростовская область
170,192,"ООО ""Хлебороб"" Зимовниковский район 6112913722",Ростовская область
171,193,"ООО ""МТС-ГК"" Степь"" Каневской район 2334019565",Краснодарский край
172,194,"ООО ""Степной"" Зимовниковский район 6112914412",Ростовская область
173,195,"Крестьянское Хозяйство ""Содружество"" Сподарева В.В. Зимовниковский район 6112004565",Ростовская область
174,196,КФХ Казарян Симон Коляевич Целинский 616404209410,Ростовская область
175,197,"ООО ""Багаевск-Агро"" Багаевский район 6103020024",Ростовская область
176,199,АО им.Ленина Цимлянский район 6137000266,Ростовская область
177,200,"ООО ""Ростовский"" Кагальницкий район 6113022824",Ростовская область
178,201,"ЗАО ""Полимет"" Целинский район 6136000136",Ростовская область
179,202,"СПК ""Победа"" Целинский район 6136001919",Ростовская область
180,203,"ЗАО "" Племенной конный завод  ""Зимовниковский"" Зимовниковский район 6112913313",Ростовская область
181,205,"ООО "" Агро-Мичуринское"" Сальский район 6153023302",Ростовская область
182,207,"ООО ""Успенский Агропромсоюз"" Белоглинский район 2326006964",Краснодарский край
183,208,"ООО ""Кировский конный завод"" Целинский район 6136016143",Ростовская область
184,209,ИП глава К(Ф)Х Борохов Сергей Михайлович Белоглинский район 232600568925,Краснодарский край
185,210,"Общество с ограниченной ответственностью ""Эртен"" Зимовниковский район 6112913112",Ростовская область
186,211,"ООО ТПК ""Дары Кубани"" Крыловский район 2332015815",Краснодарский край
187,212,"ЗАО ""Родина"" Целинский район 6136001179",Ростовская область
188,213,имени Ленина Белоглинский 2326008584 ОАО Белоглинский район 2326008584,Краснодарский край
189,214,"АО ""Племенной завод ""Прогресс"" Зимовниковский район 6112912831",Ростовская область
190,215,"ООО ""Колхоз Родина"" Белоглинский район 2360002864",Краснодарский край
191,216,ИП Глава К(Ф)Х Хахалев Роберт Оникович Новопокровский район 230803153224,Краснодарский край
192,217,"ОАО "" Знамя Октября"" Крыловский район 2338010122",Краснодарский край
193,218,"ООО ""Золотой колос"" Кореновский район 2330030021",Краснодарский край
194,219,"Общество с ограниченной ответственностью ""Заречье"" Белоглинский район 2326005953",Краснодарский край
195,220,"ООО ""Откормочный-Аметист"" Новопокровский район 2344014534",Краснодарский край
196,221,ИП Глава К(Ф)Х Огнева Анастасия Александровна Новопокровский район 234403474284,Краснодарский край
197,222,Индивидуальный предприниматель Йовдий Иван Николаевич Белоглинский район 236000199960,Краснодарский край
198,223,ИП Глава КФХ Севодин Борис Викторович Новопокровский район 234401403030,Краснодарский край
199,224,"ООО ""Колос"" Крыловский Крыловский район 2338009624",Краснодарский край
200,225,"ЗАО ""Заводское"" Ейский район 2331011857",Краснодарский край
201,226,"ООО  ""Белоглинское"" Белоглинский район 2326007622",Краснодарский край
202,227,"ОАО ""Радуга"" Новопокровский район 2344014774",Краснодарский край
203,228,ИП  Ивченко С.Н. Крыловский район 233800671664,Краснодарский край
204,229,"ООО ""Восточное"" Белоглинский район 2326008217",Краснодарский край
205,231,"ООО ""Стычное"" Константиновский район 6116009476",Ростовская область
206,232,ИП Глава КФХ Соннов Александр Александрович Целинский район 613602838373,Ростовская область
207,234,"ООО ""СХП Восход"" Зерноградский район 6111011947",Ростовская область
208,235,"ООО ""Мелиховское -Агро"" Усть-Донецкий район 6135006625",Ростовская область
209,236,"ООО ""Аксайская птицефабрика"" Аксайский район 6102068344",Ростовская область
210,238,"ОАО "" Птицефабрика Белокалитвинская "" Белокалитвинский район 6142001160",Ростовская область
211,239,"ЗАО ""Обливская сельхозхимия"" Обливский район 6124000484",Ростовская область
212,241,ИП Большенко Надежда Александровна Глава К(Ф)Х Октябрьский район 612502583480,Ростовская область
213,242,"ООО ""Союз"" Красносулинский район 6148558479",Ростовская область
214,243,"ООО ""Агросервис"" городской округ Новошахтинск 6151012577",Ростовская область
215,244,"ООО ""Зверевская МТС""",Ростовская область
216,245,"ООО ""РУСЬ"" Красносулинский район 6148556802",Ростовская область
217,246,"ООО ""Аксайская земля"" Аксайский район 6102023470",Ростовская область
218,247,"ООО ""АПК ""МИХАЙЛОВСКОЕ"" Красносулинский район 6148655088",Ростовская область
219,249,ИП Сафонов Анатолий Петрович Октябрьский район 612500188501,Ростовская область
220,251,ИП Кудинов Владимир Алексеевич Глава К(Ф)Х Октябрьский район 612502693891,Ростовская область
221,253,ИП Глава К(Ф)Х Поливанов Виталий Павлович Красносулинский район 614800422481,Ростовская область
222,254,"СПК ""Зодиак"" Октябрьский район 6125020324",Ростовская область
223,255,ИП Глава КФХ Луганцев Денис Николаевич Октябрьский район 1700,Ростовская область
224,256,"ООО ""Аксай СХП"" Аксайский район 6102015624",Ростовская область
225,257,ИП Копылов Александр Александрович Глава К(Ф)Х Октябрьский район 612500505408,Ростовская область
226,258,"ООО ""Южная усадьба"" Октябрьский район 6164270060",Ростовская область
227,259,"ООО ПКФ ""Атлантис-Пак"" Аксайский район 6163026503",Ростовская область
228,260,"ООО ""Виктория"" Октябрьский Октябрьский район 6125021751",Ростовская область
229,261,ИП Глава КФХ Вакуленко Иван Николаевич Аксайский район 616101128378,Ростовская область
230,262,ИП Глава К(Ф)Х Середенко Александр Васильевич Милютинский район 612001818839,Ростовская область
231,263,"СПК ""Табунщиковский"" Красносулинский район 6148003131",Ростовская область
232,264,"ООО ""АгроМега"" Аксайский район 6102062840",Ростовская область
233,265,"ООО ""Агрофирма Красносулинская"" Красносулинский район 6148557073",Ростовская область
234,266,"ООО ""Квант"" Зерноградский район 6111012235",Ростовская область
235,267,"ПСХК ""Александровский"" Мясниковский район 6122001806",Ростовская область
236,269,"ЗАО ""Кировский конный завод"" Целинский район 6136006177",Ростовская область
237,270,"ООО ""Егорлык-Агро"" Егорлыкский 6109010840",Ростовская область
238,271,ИП Глава КФХ Горьков Михаил Алексеевич Целинский район 613603581057,Ростовская область
239,272,"ООО ""Целинный"" Зимовниковский район 6112913680",Ростовская область
240,273,"СПК племзавод ""Мир"" Ремонтненский район 6129005454",Ростовская область
241,274,ИП Глава К(Ф)Х Осипов Амаяк Аведисович Егорлыкский район 610901519965,Ростовская область
242,275,ООО Племзавод Кирова Зимовниковский район 6112914684,Ростовская область
243,276,"ЗАО ""Большинское"" Тарасовский район 6133001149",Ростовская область
244,277,"СПК ""Целинский"" Целинский район 6136001348",Ростовская область
245,278,"ЗАО ""ДонМаслоПродукт"" Веселовский район 6106903268",Ростовская область
246,279,Никитин М.С. Щербиновский район 235800170742,Краснодарский край
247,280,Колхоз имени Скиба Зимовниковский район 6112000970,Ростовская область
248,281,"АО ""Племенной завод ""Гашунский"" Зимовниковский 6112912380",Ростовская область
249,282,"ООО ""Ермак"" Морозовский район 6121008326",Ростовская область
250,283,"ООО ""Сеятель"" Сальский район 6153034093",Ростовская область
251,285,"ООО ""Маныч-агро"" Багаевский район 6166018099",Ростовская область
252,286,"ООО ""Виктория"" Шолоховский район 6139004611",Ростовская область
253,287,"ЗАО ""Нектар"" Чертковский район 6138000607",Ростовская область
254,288,"ООО ""Усадьба Вербицкого"" Азовский район 6101922490",Ростовская область
255,289,"ООО ""Антарес"" городской округ Ростов-на-Дону 6167079545",Ростовская область
256,290,"Сельскохозяйственная артель (колхоз) ""ЦЕНТРАЛЬНЫЙ"" Азовский район 6101029102",Ростовская область
257,291,ИП Щитников Владимир Петрович Азовский район 610107091959,Ростовская область
258,292,Левобережный 6101029110 Азовский район 6101029110,Ростовская область
259,293,"ООО СХП ""Светлагорское"" Багаевский район 6103005033",Ростовская область
260,294,"ООО ""Задонье"" Семикаракорский район 6132010775",Ростовская область
261,295,"ООО ""Дон Юг Агро"" городской округ Ростов-на-Дону 6168064943",Ростовская область
262,296,"ООО ""СТЕПНОЕ"" Верхнедонской район 6105002430",Ростовская область
263,297,"ООО ""Новоселовское"" Мартыновский район 6118010660",Ростовская область
264,298,"ООО ""Золотовское"" Семикаракорский район 6132007148",Ростовская область
265,299,"ЗАО ""Агрофирма Центральная"" Зимовниковский район 6112001067",Ростовская область
266,300,"ООО ""ТРАКТ"" Яшалтинский район 812002019",Республика Калмыкия
267,301,Заря Зимовниковский 6112005537 (Сельхозартель) Зимовниковский район 6112005537,Ростовская область
268,302,"СПК ""Федосеевский"" Заветинский район 6110001689",Ростовская область
269,303,"СПК ""Буругшун"" Яшалтинский район 812000318",Республика Калмыкия
270,304,"ЗАО ""Октябрь"" Кашарский район 6115001040",Ростовская область
271,305,Крестьянское хозяйство Кулишова Ю.В. Зимовниковский район 6112000560,Ростовская область
272,306,ГНУ ДОС ВНИИМК Россельхозакадемии Азовский район 6101922482,Ростовская область
273,308,"Производственный кооператив ""Еремеевский"" Азовский район 6101025330",Ростовская область
274,309,ООО Иловайское Зимовниковский район 6112913793,Ростовская область
275,310,"ЗАО ""Шахтер"" Зимовниковский район 6112001684",Ростовская область
276,311,ИП Глава К(Ф)Х Кравцова Анна Ивановна Зерноградский район 611110501981,Ростовская область
277,312,"ЗАО ""Агроплемхоз"" Зимовниковский 6165144125",Ростовская область
278,313,"ЗАО ""имени Дзержинского"" Азовский район 6101038555",Ростовская область
279,314,"СПК племзавод ""Подгорное"" Ремонтненский район 6129005359",Ростовская область
280,315,ИП глава К(Ф)Х Зубарь Сергей Владимирович Азовский район 610103834586,Ростовская область
281,316,ИП Глава К(Ф)Х Кудряшов Иван Евгеньевич Щербиновский район 235800086191,Краснодарский край
282,317,"ЗАО ""Зелёная роща"" Миллеровский район 6149007516",Ростовская область
283,318,"ООО ""Май 07"" Зимовниковский район 6112913320",Ростовская область
284,319,"ООО ""Агрофирма ""Красный Сад"""" Азовский район 6101031729",Ростовская область
285,320,"СПК ""Родина"" Заветинский район 6110010108",Ростовская область
286,321,"Сельскохозяйственная артель (кооператив) ""Песчаный"" Азовский район 6101023301",Ростовская область
287,322,ИП Глава К(Ф)Х Фисаков Юрий Федорович Зимовниковский район 611201983919,Ростовская область
288,323,ИП Глава К(Ф)Х Дорошенко Руслан Ильич Азовский район 6101054826,Ростовская область
289,324,"СПК ""Верхоломовский"" Зимовниковский район 6112000881",Ростовская область
290,325,ИП Кекчева Татьяна Витальевна Глава К(Ф)Х Щербиновский район 235800150520,Краснодарский край
291,326,ИП Дудкина Тамара Павловна Глава К(Ф)Х Зерноградский район 611103263976,Ростовская область
292,327,"СПК""Киевский"" Кашарский район 6115000576",Ростовская область
293,329,"ООО ""Рыболовецкое хозяйство ""Рыбак Приазовья"" Азовский район 6101037784",Ростовская область
294,331,"ОАО ""Северное"" Чертковский район 6138001174",Ростовская область
295,333,"ООО ""Палатин"" городской округ Азов 6140039256",Ростовская область
296,334,ИП Глава К(Ф)Х Легкодимов Николай Анатольевич Ремонтненский район 612900015180,Ростовская область
297,335,ИП Хомяков Андрей Борисович Азовский район 616102360920,Ростовская область
298,336,"ООО ""Агрофирма Даниловская"" Каменский район 6114010772",Ростовская область
299,338,"ООО ""КФХ Курышко-1"" Азовский район 6101924031",Ростовская область
300,339,ИП Нетруненко Андрей Григорьевич глава К(Ф)Х Миллеровский район 614900744891,Ростовская область
301,341,"ООО ""ВЕКТОР"" Боковский район 6104000165",Ростовская область
302,342,"ФХ ""Гайдуков А.Н."" Зимовниковский район 6112000747",Ростовская область
303,343,ИП Глава КФХ Соколовский Павел Андреевич Щербиновский район 235800203275,Краснодарский край
304,345,ИП Глава КФХ Веретенников Виктор Васильевич Целинский район 612700143890,Ростовская область
305,346,"КФХ ""Алифанов В.В."" Кашарский район 611508364901",Ростовская область
306,348,"КФХ ""Донская новь"" Азовский район 6101008430",Ростовская область
307,351,ИП Глава КФХ Дудкин Андрей Андреевич Зерноградский район 611100233211,Ростовская область
308,352,"ООО ""Хлебороб"" Шолоховский Шолоховский район 6139006633",Ростовская область
309,356,ИП Королев Владимир Михайлович глава К(Ф)Х Заветинский район 611000036869,Ростовская область
310,357,"ФГУП""Семикаракорское"" Семикаракорский район 6132001467",Ростовская область
311,358,"ИП глава К(Ф)Х ""Бирюлин С.П."" Шолоховский район 613900013508",Ростовская область
312,359,ИП  Глава КФХ Новосельцев Юрий Иванович Зимовниковский район 611200307690,Ростовская область
313,361,"ООО ""Согласие"" Целинский район 6136009065",Ростовская область
